id	KAT2A	Type
CGGA_319	6.080045968	Tumor
CGGA_320	6.082494828	Tumor
CGGA_321	6.083368272	Tumor
CGGA_322	6.088770188	Tumor
CGGA_323	6.089316825	Tumor
CGGA_324	6.095879366	Tumor
CGGA_325	6.099849997	Tumor
CGGA_326	6.100366987	Tumor
CGGA_327	6.10346449	Tumor
CGGA_328	6.111175185	Tumor
CGGA_329	6.114246335	Tumor
CGGA_330	6.116612058	Tumor
CGGA_331	6.122738345	Tumor
CGGA_332	6.122907604	Tumor
CGGA_333	6.12797487	Tumor
CGGA_334	6.134067314	Tumor
CGGA_335	6.140148393	Tumor
CGGA_336	6.147047233	Tumor
CGGA_337	6.150363776	Tumor
CGGA_338	6.15399351	Tumor
CGGA_339	6.154992359	Tumor
CGGA_340	6.156476524	Tumor
CGGA_341	6.156641323	Tumor
CGGA_342	6.159596578	Tumor
CGGA_343	6.161411186	Tumor
CGGA_344	6.170897226	Tumor
CGGA_345	6.172200073	Tumor
CGGA_346	6.174192522	Tumor
CGGA_347	6.175048498	Tumor
CGGA_348	6.175451327	Tumor
CGGA_349	6.176587292	Tumor
CGGA_350	6.17982729	Tumor
CGGA_351	6.187087048	Tumor
CGGA_352	6.190781544	Tumor
CGGA_353	6.191583268	Tumor
CGGA_354	6.19222428	Tumor
CGGA_355	6.196063543	Tumor
CGGA_356	6.196354564	Tumor
CGGA_357	6.196861923	Tumor
CGGA_358	6.200050408	Tumor
CGGA_359	6.203389679	Tumor
CGGA_360	6.211584894	Tumor
CGGA_361	6.212093791	Tumor
CGGA_362	6.212251494	Tumor
CGGA_363	6.214772066	Tumor
CGGA_364	6.217130545	Tumor
CGGA_365	6.224207365	Tumor
CGGA_366	6.224804369	Tumor
CGGA_367	6.226208794	Tumor
CGGA_368	6.226988356	Tumor
CGGA_369	6.230101804	Tumor
CGGA_370	6.239859314	Tumor
CGGA_371	6.245938645	Tumor
CGGA_372	6.253002919	Tumor
CGGA_373	6.258239123	Tumor
CGGA_374	6.259219809	Tumor
CGGA_375	6.262115819	Tumor
CGGA_376	6.262489544	Tumor
CGGA_377	6.264595485	Tumor
CGGA_378	6.267897941	Tumor
CGGA_379	6.271700176	Tumor
CGGA_380	6.272452177	Tumor
CGGA_381	6.272752852	Tumor
CGGA_382	6.274555401	Tumor
CGGA_383	6.278601332	Tumor
CGGA_384	6.281292147	Tumor
CGGA_385	6.282038462	Tumor
CGGA_386	6.285019321	Tumor
CGGA_387	6.285985008	Tumor
CGGA_388	6.289180743	Tumor
CGGA_389	6.290486699	Tumor
CGGA_390	6.29199678	Tumor
CGGA_391	6.293180604	Tumor
CGGA_392	6.297610092	Tumor
CGGA_393	6.298052188	Tumor
CGGA_394	6.298199519	Tumor
CGGA_395	6.299083144	Tumor
CGGA_396	6.303944045	Tumor
CGGA_397	6.30678948	Tumor
CGGA_398	6.306861775	Tumor
CGGA_399	6.30719571	Tumor
CGGA_400	6.309784706	Tumor
CGGA_401	6.311659956	Tumor
CGGA_402	6.314496755	Tumor
CGGA_403	6.314592808	Tumor
CGGA_404	6.317933121	Tumor
CGGA_405	6.320975278	Tumor
CGGA_406	6.324298782	Tumor
CGGA_407	6.325020127	Tumor
CGGA_408	6.327037706	Tumor
CGGA_409	6.329052068	Tumor
CGGA_410	6.330919676	Tumor
CGGA_411	6.336791805	Tumor
CGGA_412	6.345894061	Tumor
CGGA_413	6.346754744	Tumor
CGGA_414	6.34831323	Tumor
CGGA_415	6.348879476	Tumor
CGGA_416	6.350011208	Tumor
CGGA_417	6.353964303	Tumor
CGGA_418	6.359169137	Tumor
CGGA_419	6.364492416	Tumor
CGGA_420	6.366308401	Tumor
CGGA_421	6.36979336	Tumor
CGGA_422	6.37090652	Tumor
CGGA_423	6.376734573	Tumor
CGGA_424	6.377979952	Tumor
CGGA_425	6.378947732	Tumor
CGGA_426	6.380190932	Tumor
CGGA_427	6.382434182	Tumor
CGGA_428	6.382434182	Tumor
CGGA_429	6.385980661	Tumor
